"Story","Title","Result","Date","Stability","Duration (s)"
"Users crud with steps","This method will create a new user record","SUCCESS","2023-01-10T22:05:31.562Z[Europe/London]","0.0","8.79"
"Users crud with steps","This method will get and verify existing user record","SUCCESS","2023-01-10T22:05:40.425Z[Europe/London]","0.0","0.96"
"Users crud with steps","This method will update and verify an existing user record","SUCCESS","2023-01-10T22:05:41.391Z[Europe/London]","0.0","0.59"
"Users crud with steps","This method will delete and verify an existing user record","SUCCESS","2023-01-10T22:05:41.986Z[Europe/London]","0.0","1.08"
"Data driven test","Data driven test for adding multiple users","SUCCESS","2023-01-10T22:05:55.089Z[Europe/London]","0.0","22.06"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-10T22:05:56.774Z[Europe/London]","0.0","0.59"
"Testing different request on the petstore application","verify if user is created","SUCCESS","2023-01-10T22:06:00.088Z[Europe/London]","0.0","0.55"
"Testing different request on the petstore application","Check if the petstore application can be accessed by User","SUCCESS","2023-01-10T22:06:00.733Z[Europe/London]","0.0","0.53"
"Testing different request on the petstore application","verify if user is updated","SUCCESS","2023-01-10T22:06:01.301Z[Europe/London]","0.0","0.55"
"Testing different request on the petstore application","verify if user is Deleted","SUCCESS","2023-01-10T22:06:01.936Z[Europe/London]","0.0","1.2"
